Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10nF,C_0603_1608Metric,113.25,-43.25,90.0,top
C2,10uF,C_1206_3216Metric,123.75,-48.25,-90.0,top
C3,100nF,C_0603_1608Metric,121.25,-48.25,-90.0,top
C4,22uF,C_0603_1608Metric,112.5,-52.5,0.0,top
C5,100nF,C_0603_1608Metric,112.0,-76.5,0.0,top
C6,22uF,C_0603_1608Metric,112.0,-78.5,0.0,top
D1,SS34,D_SMA,127.25,-48.25,-90.0,top
D2,SS34,D_SMA,118.25,-43.25,180.0,top
D3,SS34,D_SMA,127.25,-62.5,-90.0,top
D4,RED,D_0603_1608Metric,120.75,-68.5,-90.0,top
D5,SS34,D_SMA,127.25,-80.5,-90.0,top
D6,RED,D_0603_1608Metric,120.75,-86.5,-90.0,top
L1,22uH,L_Sunlord_SWPA4030S,109.75,-43.75,-90.0,top
Q1,AO3400A,SOT-23,127.25,-68.5,-90.0,top
Q2,AO3400A,SOT-23,127.25,-86.5,-90.0,top
R1,0R,R_0603_1608Metric,105.0,-49.0,0.0,top
R10,120R,R_0603_1608Metric,118.0,-82.5,90.0,top
R11,2k7,R_0603_1608Metric,117.25,-74.75,180.0,top
R12,2k7,R_0603_1608Metric,117.25,-78.0,180.0,top
R13,820R,R_0603_1608Metric,123.25,-86.5,90.0,top
R14,5k6,R_0603_1608Metric,118.0,-86.5,-90.0,top
R15,10k,R_0603_1608Metric,112.0,-80.5,0.0,top
R16,10k,R_0603_1608Metric,112.0,-82.5,0.0,top
R17,10k,R_0603_1608Metric,102.0,-53.5,90.0,top
R18,10k,R_0603_1608Metric,112.5,-54.5,180.0,top
R19,220k,R_0603_1608Metric,100.5,-83.25,-90.0,top
R2,10k,R_0603_1608Metric,108.0,-53.5,90.0,top
R20,100k,R_0603_1608Metric,100.5,-79.0,0.0,top
R3,5k6,R_0603_1608Metric,106.0,-53.5,90.0,top
R4,270R,R_0603_1608Metric,104.0,-53.5,-90.0,top
R5,120R,R_0603_1608Metric,118.0,-64.5,90.0,top
R6,2k7,R_0603_1608Metric,117.25,-60.0,180.0,top
R7,2k7,R_0603_1608Metric,117.25,-56.75,180.0,top
R8,820R,R_0603_1608Metric,123.25,-68.5,90.0,top
R9,5k6,R_0603_1608Metric,118.0,-68.5,-90.0,top
SW1,SW1_BOOT,SW_Push_1P1T_XKB_TS-1187A,103.0,-45.0,180.0,top
U1,TPS5430DDA,TI_SO-PowerPAD-8_ThermalVias,116.25,-48.25,0.0,top
U2,EL817,SMDIP-4_W9.53mm,122.0,-60.0,90.0,top
U3,EL817,SMDIP-4_W9.53mm,122.0,-78.0,90.0,top
